0_1,464748.79627198,5247039.73213575
1_1,464749.36293141,5247038.93094495
2_1,464749.14907506,5247038.48408225
4_1,464748.59114043,5247038.64317987
5_1,464749.49929570,5247038.57056386
6_1,464750.31281745,5247037.99361381
7_1,464750.64851733,5247037.05702353
8_1,464750.89874227,5247036.04183141
9_1,464752.14336028,5247035.25795688
10_1,464752.02639625,5247035.50992873
11_1,464752.44443584,5247034.43780053
12_1,464754.61238000,5247032.88892318
13_1,464755.30923204,5247032.66950153
14_1,464755.60658998,5247032.14043479
15_1,464756.63051479,5247031.90205044
16_1,464757.95711549,5247032.77980533
17_1,464758.54898596,5247033.64495445
18_1,464757.92654304,5247033.49204935
19_1,464758.83613516,5247032.86351875
20_1,464760.02882741,5247032.08449982
21_1,464760.61093961,5247032.05694301
22_1,464759.49258240,5247030.03258003
23_1,464760.19608926,5247029.85602723
24_1,464762.06006230,5247028.67304239
25_1,464762.92321715,5247028.19031774
26_1,464763.31244769,5247029.07778523
27_1,464763.67567679,5247029.53359263
28_1,464763.85522999,5247030.71970168
29_1,464764.49013345,5247030.64897122
30_1,464763.62206940,5247031.26627005
31_1,464762.77997955,5247031.94149317
32_1,464761.95415750,5247032.57082326
33_1,464760.21563868,5247031.88190537
34_1,464759.74415456,5247031.11235408
35_1,464759.64868943,5247032.23907309
36_1,464757.32230372,5247033.68408582
37_1,464756.44607979,5247034.35308679
38_1,464755.62113204,5247034.93453808
39_1,464758.01020469,5247033.56382606
40_1,464757.04532873,5247034.12061914
41_1,464756.20230616,5247034.66430737
42_1,464755.33421968,5247035.02428093
43_1,464753.39819219,5247037.44186546
44_1,464753.51410923,5247037.56262491
45_1,464754.13419280,5247037.37140461
46_1,464754.07356362,5247036.05622449
47_1,464754.93331573,5247035.51101903
48_1,464755.74795740,5247035.02163584
49_1,464758.64893503,5247033.23892655
50_1,464758.64205195,5247033.50821742
51_1,464759.50633743,5247034.18997909
52_1,464761.37487762,5247036.88860757
53_1,464762.05202681,5247037.75739235
54_1,464762.75425317,5247038.69800388
55_1,464763.36614946,5247039.95116357
56_1,464763.68518221,5247039.14097733
57_1,464764.98676308,5247038.56697300
58_1,464765.44773017,5247038.76069672
59_1,464766.33722991,5247038.08952745
60_1,464767.30432036,5247037.64112620
61_1,464769.10720178,5247035.11866781
62_1,464769.42565365,5247035.92979638
63_1,464768.27139732,5247036.32339064
64_1,464767.36049408,5247036.70002391
65_1,464767.17941693,5247036.32012302
66_1,464766.31566165,5247035.14548355
67_1,464766.63934384,5247034.17666207
68_1,464767.45806218,5247033.33318690
69_1,464766.39818546,5247034.41460922
70_1,464765.56108091,5247035.02384876
71_1,464764.73801163,5247035.71612270
72_1,464763.97633459,5247036.35988242
73_1,464764.58974461,5247035.74220605
74_1,464765.48895254,5247035.23505759
75_1,464766.30288839,5247034.60623705
76_1,464766.18635733,5247035.09445328
77_1,464767.12374844,5247036.33905451
78_1,464767.14081651,5247036.93900681
79_1,464766.46567222,5247037.95907685
80_1,464765.61743479,5247038.49282882
81_1,464764.67665646,5247038.61942521
82_1,464763.99644770,5247038.99297468
83_1,464762.89056966,5247039.31034494
84_1,464763.32943479,5247039.96858195
85_1,464762.95345698,5247039.64932771
86_1,464762.28710663,5247038.79425282
87_1,464761.71715467,5247038.00036965
88_1,464761.12881954,5247037.13509013
89_1,464761.52621282,5247037.28919013
90_1,464761.07274505,5247036.86232491
91_1,464761.52776350,5247037.51460320
92_1,464762.00249383,5247038.40734751
93_1,464762.60849384,5247039.26907552
94_1,464763.16553273,5247040.17585909
95_1,464763.60284100,5247041.07262694
96_1,464763.05252105,5247041.00448093
97_1,464762.10733182,5247041.82776045
98_1,464761.28128041,5247042.56362083
99_1,464760.51410928,5247042.48510433
100_1,464760.15172109,5247042.70038833
101_1,464760.68907602,5247042.63188662
102_1,464759.31176117,5247043.52900363
103_1,464759.59196812,5247043.11978486
104_1,464758.73294745,5247043.61450980
105_1,464757.44267232,5247043.78926746
106_1,464756.16322034,5247045.61393902
107_1,464756.10721569,5247045.48319716
108_1,464754.33118159,5247044.85158561
109_1,464753.92696625,5247043.86172166
110_1,464753.40587178,5247042.92589705
111_1,464752.82855449,5247042.00863295
112_1,464752.19136459,5247041.22010319
113_1,464752.42530875,5247041.16529049
114_1,464750.85898492,5247038.68743586
115_1,464748.36635380,5247039.88702743
116_1,464749.43340120,5247039.78657235
117_1,464748.82403601,5247036.50366918
118_1,464748.30826347,5247035.61562571
119_1,464748.36619445,5247034.72729008
120_1,464747.69685509,5247034.24207222
121_1,464747.14225744,5247033.38687445
122_1,464746.56243384,5247032.08981263
123_1,464745.06906206,5247031.53795302
124_1,464744.91281854,5247030.61818468
125_1,464744.79168452,5247030.52202485
126_1,464744.53446280,5247029.37266625
127_1,464742.88054965,5247027.75683600
128_1,464742.22177589,5247026.89342644
129_1,464741.67212935,5247026.07110354
130_1,464741.09209952,5247025.13987712
131_1,464740.59188186,5247024.26855645
132_1,464740.06043362,5247023.40158521
133_1,464739.33525074,5247022.56097678
134_1,464738.83895801,5247021.72794862
135_1,464739.70388066,5247021.55632073
136_1,464738.63930108,5247021.01924507
137_1,464738.18342510,5247020.16927498
138_1,464737.60620299,5247019.39876121
139_1,464737.01659615,5247018.21293005
140_1,464735.73083234,5247017.06531946
141_1,464735.04240476,5247016.24973112
142_1,464734.30385517,5247015.39232781
143_1,464733.49913530,5247014.67236060
144_1,464732.66199570,5247014.03032895
145_1,464731.89341225,5247013.36126749
146_1,464731.19961506,5247012.58046183
147_1,464730.68694309,5247011.70681230
